order,url,label,error
,https://www.apple.com/,,Cannot read properties of undefined (reading 'statusCode')
,https://www.apple.com/,,Cannot read properties of undefined (reading 'statusCode')
,https://www.apple.com/,,Cannot read properties of undefined (reading 'statusCode')
,https://www.apple.com/,,Cannot read properties of undefined (reading 'statusCode')
,https://www.apple.com/,,Cannot read properties of undefined (reading 'statusCode')
,https://www.apple.com/,,Cannot read properties of undefined (reading 'statusCode')
,facebook.com,,Invalid URL
,https://apple.com,,Cannot read properties of undefined (reading 'reduce')
,https://facebook.com,,attr?.trackers?.reduce is not a function
,https://facebook.com,,attr?.trackers?.reduce is not a function
